Fuel,Date,CCM,Horse_power,KW,Kms_run,Price,Name
Dízel,2008/6,2 148 cm³,170 LE,125 kW,227 508 km,2 790 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2008/6,2 148 cm³,170 LE,125 kW,214 534 km,2 795 000,MERCEDES-BENZ C 220 CDI Elegance (Automata) Kitűnő!!Csere-érdekel!!
Dízel,2008/10,2 148 cm³,170 LE,125 kW,178 000 km,2 800 000,MERCEDES-BENZ C 220 T CDI Elegance (Automata)
Dízel,2010,2 143 cm³,170 LE,125 kW,200 763 km,2 850 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Elegance
Dízel,2010/1,2 143 cm³,170 LE,125 kW,239 000 km,2 850 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Classic (Automata)
Dízel,2008/11,2 148 cm³,170 LE,125 kW,279 000 km,2 850 000,MERCEDES-BENZ C 220 T CDI Avantgarde (Automata) Avantgarde dupla üvegtető navi
Dízel,2009/8,2 148 cm³,170 LE,125 kW,214 000 km,2 890 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2009/7,2 143 cm³,170 LE,125 kW,165 000 km,2 899 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata) Gyönyörű!! Szervizkönyves!!
Dízel,2008/6,2 148 cm³,170 LE,125 kW,230 000 km,2 650 000,MERCEDES-BENZ C 220 T CDI Avantgarde
Dízel,2008/8,2 148 cm³,170 LE,125 kW,242 000 km,2 930 000,MERCEDES-BENZ C 220 T CDI Avantgarde
Dízel,2007/8,2 148 cm³,170 LE,125 kW,240 000 km,2 980 000,MERCEDES-BENZ C 220 CDI Avantgarde
Dízel,2007/10,2 148 cm³,170 LE,125 kW,236 000 km,2 990 000,MERCEDES-BENZ C 220 CDI Avantgarde
Dízel,2010/11,2 143 cm³,170 LE,125 kW,207 000 km,2 990 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata) Sérülésmentes
Dízel,2008,2 148 cm³,170 LE,125 kW,228 000 km,2 990 000,MERCEDES-BENZ C 220 CDI Avantgarde
Dízel,2008/6,2 148 cm³,170 LE,125 kW,248 146 km,2 990 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2010/10,2 143 cm³,170 LE,125 kW,199 000 km,2 999 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Classic (Automata) CSERÉLHETŐ
Dízel,2011/9,2 143 cm³,170 LE,125 kW,382 000 km,2 999 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2009/10,2 143 cm³,170 LE,125 kW,218 533 km,3 000 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2008/5,2 148 cm³,170 LE,125 kW,218 000 km,3 000 000,MERCEDES-BENZ C 220 T CDI Avantgarde Nagy command
Dízel,2012/2,2 143 cm³,170 LE,125 kW,302 100 km,3 065 000,MERCEDES-BENZ C 220 T CDI BlueEFFICIENCY Avantgarde (Automata)
Dízel,2008/6,2 148 cm³,136 LE,100 kW,165 000 km,3 099 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2008/6,2 148 cm³,170 LE,125 kW,127 000 km,3 100 000,MERCEDES-BENZ C 220 CDI Avantgarde (Automata)
Dízel,2011/6,2 143 cm³,170 LE,125 kW,255 625 km,3 190 000,MERCEDES-BENZ C 220 CDI BlueEFFICIENCY Avantgarde (Automata)
